iter	Logloss
0	0.6931127816
1	0.6930729345
2	0.6930313793
3	0.6929821503
4	0.6929359923
5	0.6929061611
6	0.6928740846
7	0.6928522347
8	0.6928019967
9	0.6927800073
10	0.6927349237
11	0.6926919949
12	0.6926496141
13	0.692627123
14	0.6925847135
15	0.6925348733
16	0.6924875756
17	0.6924634528
18	0.6924245082
19	0.6923866343
20	0.6923493
21	0.6923087149
22	0.6922802475
23	0.6922420097
24	0.6922208754
25	0.6921821633
26	0.6921454132
27	0.6921187445
28	0.6920885348
29	0.6920480941
30	0.6920018218
31	0.6919722925
32	0.6919297229
33	0.6918917127
34	0.6918500883
35	0.6918150623
36	0.6917609369
37	0.6917165031
38	0.6916818496
39	0.6916355696
40	0.6915959355
41	0.6915580399
42	0.6915120306
43	0.6914584662
44	0.6914160119
45	0.6913632022
46	0.6913323836
47	0.6912771909
48	0.6912278825
49	0.6911939172
50	0.6911555837
51	0.6911108861
52	0.6910690991
53	0.6910432342
54	0.6910039298
55	0.6909562751
56	0.6909079672
57	0.6908806516
58	0.6908347698
59	0.6908054391
60	0.6907710055
61	0.6907259802
62	0.6907151522
63	0.6906889896
64	0.6906507081
65	0.6906132904
66	0.6905691294
67	0.6905206408
68	0.6904908821
69	0.6904668721
70	0.6904256191
71	0.6903914038
72	0.6903426835
73	0.690308359
74	0.6902702837
75	0.6902428033
76	0.6902156975
77	0.6901753358
78	0.690122495
79	0.6900873911
80	0.6900617543
81	0.6900275266
82	0.6900051019
83	0.6899648856
84	0.6899231647
85	0.6898786562
86	0.6898305063
87	0.6897864064
88	0.6897432673
89	0.6897060032
90	0.6896666023
91	0.6896233279
92	0.6895912639
93	0.6895623184
94	0.6895237199
95	0.6894967937
96	0.6894504237
97	0.689421891
98	0.6893842998
99	0.6893497694
100	0.6893195653
101	0.6892754256
102	0.6892546332
103	0.6892290747
104	0.6892011219
105	0.6891800127
106	0.6891393082
107	0.6890936029
108	0.689053996
109	0.689030789
110	0.6889969043
111	0.6889593594
112	0.6889300561
113	0.6889138622
114	0.6888704765
115	0.6888298068
116	0.6887840528
117	0.6887472932
118	0.6887009458
119	0.6886639184
120	0.6886232362
121	0.6885839501
122	0.6885478151
123	0.6885294186
124	0.6885101222
125	0.6884812351
126	0.6884526795
127	0.6884217507
128	0.6883908625
129	0.6883722505
130	0.6883531291
131	0.6883221952
132	0.6883050756
133	0.6882613791
134	0.6882138005
135	0.6881656826
136	0.6881191944
137	0.688073913
138	0.6880362905
139	0.6879964167
140	0.6879554063
141	0.687915673
142	0.6878934404
143	0.6878546003
144	0.6878160198
145	0.6877912733
146	0.6877440617
147	0.6877091154
148	0.6876706182
149	0.6876394402
150	0.6875991752
151	0.6875746171
152	0.687540381
153	0.6874895764
154	0.6874602144
155	0.687414657
156	0.6873926533
157	0.6873391624
158	0.6873110652
159	0.6872612951
160	0.6872415689
161	0.6872014268
162	0.6871590641
163	0.6871152137
164	0.6870750894
165	0.6870353292
166	0.6869989243
167	0.6869815023
168	0.6869298058
169	0.6868931999
170	0.6868653306
171	0.6868286548
172	0.6867900825
173	0.686763893
174	0.6867141409
175	0.6866806813
176	0.6866374713
177	0.6865942184
178	0.6865689409
179	0.6865331515
180	0.6865020604
181	0.6864623786
182	0.6864203805
183	0.686387395
184	0.6863481433
185	0.6863125422
186	0.6862741596
187	0.6862346313
188	0.6861933704
189	0.6861530604
190	0.6861061395
191	0.6860631753
192	0.6860266437
193	0.6859939076
194	0.6859536247
195	0.6859077863
196	0.6858889512
197	0.6858497523
198	0.6858249284
199	0.6857985157
200	0.6857498653
201	0.6857079204
202	0.6856947008
203	0.6856604957
204	0.6856287982
205	0.6855864622
206	0.6855377986
207	0.6855176416
208	0.6854937814
209	0.685447087
210	0.6854106911
211	0.6853738661
212	0.6853381333
213	0.6853123735
214	0.685291221
215	0.6852515963
216	0.6852249158
217	0.6851778453
218	0.6851544422
219	0.6851121502
220	0.6850694407
221	0.6850197366
222	0.6849908712
223	0.684946213
224	0.6849223258
225	0.6848965936
226	0.6848488871
227	0.684828261
228	0.6847908751
229	0.6847579514
230	0.6847172869
231	0.6846788992
232	0.6846496162
233	0.6846069818
234	0.6845680415
235	0.6845208167
236	0.6844776508
237	0.6844408654
238	0.6844052025
239	0.684366811
240	0.684330916
241	0.6843073648
242	0.684283501
243	0.6842553269
244	0.6842132274
245	0.684172681
246	0.6841307178
247	0.684092756
248	0.6840523732
249	0.6840237799
250	0.6840024127
251	0.6839536966
252	0.6839236017
253	0.6838981848
254	0.6838715772
255	0.6838281479
256	0.6838027013
257	0.6837664678
258	0.6837281419
259	0.683688377
260	0.6836439557
261	0.683598859
262	0.6835590277
263	0.6835228176
264	0.6834864048
265	0.6834386458
266	0.6833991834
267	0.6833549745
268	0.6833205406
269	0.6832954072
270	0.6832602491
271	0.6832368727
272	0.6832019484
273	0.6831624207
274	0.6831191578
275	0.6830785761
276	0.6830376047
277	0.6830072198
278	0.6829731418
279	0.6829588868
280	0.6829176223
281	0.682880516
282	0.6828520326
283	0.6828004514
284	0.6827790086
285	0.6827430788
286	0.6827033274
287	0.6826624079
288	0.6826417568
289	0.682611562
290	0.6825719636
291	0.6825220573
292	0.6824929123
293	0.682454911
294	0.6824306571
295	0.6823934895
296	0.682344457
297	0.6823252179
298	0.6822980848
299	0.6822799514
300	0.6822379091
301	0.6822051267
302	0.6821794245
303	0.6821434327
304	0.6820935101
305	0.6820558595
306	0.6820176921
307	0.6819805421
308	0.6819422826
309	0.6819181243
310	0.6818788873
311	0.6818458003
312	0.6817938241
313	0.681762255
314	0.6817506599
315	0.6817369663
316	0.6817002856
317	0.6816831442
318	0.6816513529
319	0.6816119911
320	0.6815695499
321	0.6815387873
322	0.6814972634
323	0.6814451254
324	0.6814229546
325	0.6813899636
326	0.6813667003
327	0.6813375674
328	0.6813053307
329	0.6812614753
330	0.681232816
331	0.6811949338
332	0.6811657047
333	0.68114711
334	0.6811112846
335	0.6810743683
336	0.6810507295
337	0.6810149703
338	0.6809796316
339	0.6809376809
340	0.6808872056
341	0.6808426531
342	0.6808126551
343	0.6807883998
344	0.6807505563
345	0.6807133709
346	0.6806875278
347	0.6806571644
348	0.6806333047
349	0.6805986274
350	0.6805768744
351	0.6805383906
352	0.6805145847
353	0.6804714708
354	0.6804356192
355	0.6804002023
356	0.6803798003
357	0.6803437165
358	0.6803155698
359	0.6802777701
360	0.6802438225
361	0.6802063435
362	0.6801703607
363	0.6801260802
364	0.6800718481
365	0.6800315398
366	0.6799904632
367	0.6799471348
368	0.6799148554
369	0.679884504
370	0.6798364282
371	0.6798092303
372	0.6797700483
373	0.6797401389
374	0.6797163359
375	0.6796895752
376	0.6796617441
377	0.6796313032
378	0.6795952323
379	0.6795516756
380	0.6795073548
381	0.6794719373
382	0.6794307366
383	0.6793975917
384	0.6793595858
385	0.6793299294
386	0.6792837672
387	0.6792484989
388	0.6792103659
389	0.6791566123
390	0.6791201077
391	0.6790778635
392	0.6790523668
393	0.6790107189
394	0.6789789313
395	0.6789419046
396	0.6789128102
397	0.6788884415
398	0.6788453464
399	0.6788071597
400	0.6787888735
401	0.6787490466
402	0.6787333049
403	0.6787072586
404	0.678687672
405	0.6786506308
406	0.6786146795
407	0.6785926583
408	0.6785433537
409	0.6785170326
410	0.678478641
411	0.6784552991
412	0.6784083955
413	0.6783640896
414	0.6783280276
415	0.6782937953
416	0.6782534897
417	0.67820967
418	0.6781678907
419	0.6781502718
420	0.6781339983
421	0.6781052376
422	0.678079262
423	0.6780488998
424	0.678010074
425	0.6779872974
426	0.6779456644
427	0.6779215031
428	0.6778808335
429	0.677843995
430	0.6778062269
431	0.6777684501
432	0.6777259729
433	0.6776838298
434	0.6776632876
435	0.6776281335
436	0.67758079
437	0.677555532
438	0.6775143362
439	0.6774912526
440	0.6774586178
441	0.6774144912
442	0.6773716285
443	0.6773490425
444	0.6773170213
445	0.6772774981
446	0.6772340732
447	0.6771958078
448	0.6771714347
449	0.6771406121
450	0.6771041599
451	0.6770753865
452	0.6770339495
453	0.6770020473
454	0.6769754064
455	0.6769286606
456	0.6769103382
457	0.6768640975
458	0.6768407282
459	0.6768116954
460	0.6767768803
461	0.6767608348
462	0.6767136934
463	0.6766795179
464	0.6766542711
465	0.6766142561
466	0.6765818943
467	0.6765440729
468	0.6765081386
469	0.6764702914
470	0.6764554439
471	0.6764298763
472	0.6763991409
473	0.676375167
474	0.6763305783
475	0.676292749
476	0.6762482759
477	0.6762191164
478	0.6761722389
