iter	Passed	Remaining
0	7	4456
1	16	4684
2	24	4735
3	32	4723
4	41	4726
5	49	4747
6	55	4545
7	63	4583
8	72	4598
9	81	4625
10	89	4626
11	98	4648
12	106	4644
13	114	4651
14	123	4654
15	131	4655
16	140	4660
17	148	4657
18	157	4651
19	163	4581
20	172	4588
21	180	4588
22	189	4591
23	197	4589
24	206	4582
25	214	4577
26	223	4575
27	231	4572
28	240	4568
29	248	4560
30	256	4558
31	265	4554
32	273	4544
33	281	4536
34	290	4537
35	299	4527
36	307	4522
37	315	4512
38	324	4506
39	332	4497
40	341	4492
41	349	4483
42	357	4474
43	366	4468
44	374	4461
45	383	4456
46	391	4453
47	400	4444
48	409	4444
49	419	4451
50	427	4444
51	436	4436
52	444	4428
53	453	4421
54	461	4409
55	469	4400
56	477	4390
57	485	4379
58	493	4369
59	502	4361
60	510	4355
61	519	4347
62	527	4338
63	536	4331
64	542	4309
65	551	4301
66	559	4292
67	567	4284
68	576	4276
69	584	4268
70	593	4264
71	599	4240
72	607	4230
73	616	4221
74	624	4213
75	633	4207
76	641	4201
77	650	4192
78	658	4185
79	666	4176
80	675	4169
81	684	4164
82	692	4155
83	700	4146
84	709	4138
85	717	4130
86	726	4122
87	734	4115
88	742	4106
89	751	4097
90	759	4090
91	768	4083
92	776	4076
93	785	4067
94	793	4061
95	802	4052
96	809	4039
97	818	4031
98	826	4024
99	835	4016
100	843	4008
101	851	4000
102	860	3993
103	868	3984
104	877	3977
105	885	3969
106	894	3961
107	902	3954
108	911	3945
109	919	3936
110	927	3929
111	936	3922
112	945	3915
113	953	3904
114	961	3896
115	969	3887
116	978	3878
117	986	3871
118	994	3862
119	1003	3854
120	1012	3847
121	1020	3839
122	1029	3832
123	1037	3823
124	1046	3817
125	1054	3809
126	1063	3801
127	1071	3792
128	1079	3783
129	1088	3775
130	1096	3766
131	1104	3757
132	1112	3748
133	1121	3741
134	1130	3733
135	1138	3724
136	1146	3716
137	1154	3707
138	1162	3698
139	1171	3690
140	1180	3682
141	1188	3673
142	1196	3666
143	1205	3657
144	1213	3649
145	1222	3642
146	1230	3633
147	1239	3625
148	1247	3617
149	1255	3608
150	1264	3600
151	1272	3591
152	1280	3583
153	1289	3575
154	1297	3566
155	1305	3557
156	1314	3549
157	1322	3540
158	1331	3532
159	1339	3524
160	1347	3515
161	1355	3506
